N,F0,PER,d0,v0,collision,attack
10,-7,0.42,7.428,25,1,0
6,-3,0.87,9.727,22,1,1
9,-6,0.34,4.35,73,0,0
6,-3,0.26,5.95,34,0,0
8,-5,0.65,6.304,53,1,0
10,-6,0.25,6.712,16,0,0
9,-5,0.72,7.054,77,1,0
6,-5,0.56,6.918,64,1,1
9,0,0.78,7.433,10,1,1
7,-6,0.8,8.492001,86,1,1
9,-1,0.08,7.917,55,1,0
6,-4,0.19,10.343,51,0,1
9,-2,0.66,7.517,51,1,1
6,-7,0.92,6.463,31,1,0
6,-2,0.89,9.341,29,1,1
10,-4,0.1,5.924,44,1,0
10,-1,0.93,6.555,86,1,1
10,-6,0.05,5.03,44,1,0
3,-5,0.99,9.021,27,1,1
7,-3,0.15,10.437,24,0,1
9,-7,0.65,4.304,57,0,0
9,-1,0.25,7.472,46,1,1
7,-8,0.69,7.863,55,1,0
6,-5,0.5,8.996,16,0,0
8,-3,0.05,6.303,44,0,0
5,-7,0.08,6.036,52,0,0
9,-5,0.74,7.53,51,1,1
3,-5,0.18,6.237,69,0,0
3,-3,0.21,6.712,15,0,1
10,-3,0.73,6.456,22,1,1
7,-5,0.89,7.491,19,1,1
8,-5,0.1,7.73,66,0,0
5,-7,0.33,6.666,29,0,0
10,-2,0.92,7.478,30,1,1
9,-2,0.65,9.752,53,1,1
6,-8,0.5,8.132,16,0,0
10,-1,0.61,7.799,41,1,0
7,-8,0.82,8.798,23,1,0
8,-2,0.92,6.212,69,1,1
10,-3,0.72,9.497,82,1,1
4,-1,0.84,6.287,26,1,1
3,-1,0.97,9.293,74,1,1
6,-6,0.03,6.732,39,0,0
9,-3,0.36,9.2630005,70,0,1
7,-6,0.59,8.43,82,1,0
4,-2,0.7,6.249,85,1,0
8,-4,0.22,5.673,43,0,0
9,-5,0.63,9.645,43,1,1
9,-6,0.18,8.172,71,1,1
10,-1,0.51,8.169001,53,1,1
9,1,0.54,8.826,52,1,1
9,-3,0.4,7.059,59,1,1
9,-3,0.12,9.602,64,0,1
4,-2,0.43,5.691,47,0,0
8,-6,0.94,9.500999,45,1,1
10,-3,0.02,9.509,35,0,1
7,-2,0.27,8.626,67,0,0
5,-4,0.89,9.063,23,1,1
9,-5,0.87,4.246,62,1,0
9,-2,0.94,6.169,68,1,0
3,-5,0.93,6.17,72,1,0
9,-3,0.91,7.558,14,1,1
3,-5,0.52,8.098,73,0,0
3,-5,0.16,6.78,23,0,0
9,-3,0.84,7.498,45,1,1
6,-4,0.72,7.416,75,1,1
9,-7,0.25,5.793,47,1,0
7,-6,0.49,8.241,63,0,0
9,-8,0.72,4.673,65,1,0
9,0,0.4,8.521,68,1,1
3,-3,0.66,5.238,68,0,0
5,-6,0.05,8.616,14,0,0
9,1,0.72,8.012,59,1,1
10,1,0.49,9.632999,14,1,1
7,-6,0.97,4.243,49,1,0
6,0,0.54,7.975,33,0,1
7,0,0.95,7.286,22,1,1
7,-2,0.43,4.595,56,0,0
6,0,0.38,9.144,23,0,1
6,-6,0.68,4.206,31,0,0
9,-3,0.07,6.704,86,0,0
8,-3,0.06,8.116,48,0,0
5,-8,0.71,4.536,37,0,0
8,-6,0.38,5.752,31,0,0
4,-3,0.74,6.728,18,0,0
5,-1,0.12,4.626,77,0,0
10,-3,0.14,10.668,67,1,1
10,-5,0.68,8.288,65,1,1
7,-6,0.94,6.002,57,1,1
9,0,0.73,9.392,38,0,1
10,-2,0.33,5.512,82,1,0
10,-6,0.27,6.611,37,1,0
5,-3,0.93,9.723,68,1,1
9,-7,0.79,4.962,62,1,0
5,-1,0.64,6.618,76,0,0
9,-6,0.09,9.969,65,0,1
4,-3,0.66,10.99,86,1,1
3,-4,0.15,6.599,33,0,0
10,-6,0.51,7.954,11,1,1
9,-5,0.41,8.245,15,0,0
9,-7,0.97,8.396,11,1,0
9,-2,0.22,5.936,83,0,0
6,-4,0.84,8.452,26,0,0
10,-6,0.21,5.221,29,1,0
8,-7,0.1,5.01,60,0,0
9,-5,0.68,6.15,11,1,1
3,-4,0.26,7.16,36,0,0
6,-2,0.45,5.622,13,0,0
5,-5,0.96,5.246,63,1,0
10,-1,0.84,8.564,34,1,1
7,-1,0.71,9.87,81,1,1
7,-5,0.21,5.13,68,0,0
5,-8,0.83,8.378,63,1,0
9,-8,0.83,6.199,75,1,0
8,-3,0.93,6.125,47,1,1
6,-6,0.53,7.09,68,0,1
9,-6,0.35,8.43,87,1,1
9,-2,0.64,8.527,43,1,1
10,1,0.37,10.459,36,1,1
7,-7,0.63,7.507,36,1,0
7,-4,0.52,7.687,83,1,1
10,-8,0.96,7.094,74,1,0
10,-7,0.78,6.36,27,1,0
10,-5,0.79,9.610001,59,1,1
10,-3,0.14,9.702,45,1,1
7,-5,0.43,6.797,67,1,0
7,-1,0.79,5.268,62,1,0
9,-7,0.08,6.15,51,1,0
6,-5,0.82,10.71,36,1,1
8,-7,0.12,6.359,11,0,0
7,-2,0.85,10.953,51,1,1
3,-2,0.77,6.045,23,0,0
8,-4,0.37,4.847,26,0,0
6,-6,0.74,10.236,64,1,1
8,-4,0.84,6.565,79,1,1
3,-4,0.59,4.082,39,0,0
8,-7,0.51,4.07,32,0,0
6,-2,0.97,9.694,12,1,1
3,-3,0.73,8.96,46,0,0
6,-4,0.39,8.039,80,0,0
9,-4,0.35,7.899,51,1,0
5,-3,0.74,8.902,68,1,1
3,-7,0.62,8.351,54,0,0
9,-2,0.62,10.83,65,1,1
7,-7,0.41,8.095,54,0,0
8,-4,0.85,6.545,39,1,1
10,-2,0.94,5.712,86,1,0
6,-6,0.4,8.673,12,0,0
4,-2,0.26,6.963,22,0,1
