N,F0,PER,d0,v0,collision,attack
6,-7,0.07,6.94,25,0,0
8,-2,0.06,7.807,47,0,0
10,-8,0.29000002,5.358,34,1,1
3,-8,0.03,7.982,55,0,1
4,-4,0.44,7.558,58,1,1
6,-6,0.47,6.094,35,0,0
7,-8,0.95,5.984,87,1,0
9,-5,0.58,5.279,61,1,0
8,-6,0.27,8.176,28,1,1
10,-4,0.09,6.222,86,1,0
3,-2,0.15,5.663,22,0,1
3,-2,0.25,4.072,62,0,0
6,-5,0.82,5.421,72,1,0
5,-8,0.45,7.708,29,0,0
4,-6,0.85,6.35,10,0,0
4,-8,0.81,5.579,70,1,0
4,-1,0.79,6.212,30,0,0
10,-5,0.33,5.185,54,1,0
9,-4,0.23,7.004,17,0,0
6,-2,0.49,6.028,74,1,1
5,-4,0.73,4.134,11,0,0
2,0,0.47000003,6.857,58,1,1
9,-1,0.75,8.33,88,1,0
8,-2,0.99,7.171,64,0,1
6,-4,0.64,8.067,87,1,0
4,-7,0.83,8.174,77,1,0
6,-5,0.43,5.516,88,0,0
10,-2,0.37,5.531,48,1,1
10,-6,0.53,6.478,10,0,1
6,-2,0.45,9.406,70,1,1
7,-8,0.96,8.375,19,1,0
6,-4,0.4,8.176,79,0,0
4,-4,0.33,5.696,66,1,1
6,-4,0.7,5.951,18,0,1
8,-8,0.83,7.907,66,0,1
2,-8,0.82,6.239,56,0,1
10,-7,0.94,8.743,34,1,0
8,0,0.04000002,7.326,52,1,1
8,-2,0.35000002,7.046,22,1,1
4,-8,0.98,5.463,80,0,1
8,-4,0.93,5.369,20,0,1
4,-4,0.22,4.568,61,0,0
5,-8,0.04,5.939,54,0,0
3,-7,0.78,5.122,61,0,0
3,-1,0.42,6.192,22,0,0
8,-5,0.45,8.549,78,0,0
8,-2,0.09,9.073,28,1,1
4,-4,0.97,4.313,68,0,1
5,-8,0.05,6.25,22,0,0
6,-6,0.45,9.086,22,1,1
3,-4,0.17,8.91,16,0,0
6,-6,0.76,7.432,20,0,1
8,-2,0.91999996,6.827,86,0,1
6,0,0.49,6.363,52,1,1
8,-6,0.31,8.922,48,1,1
8,-8,0.25,7.981,79,1,0
4,-6,0.82,6.227,44,0,1
6,-3,0.69,8.757,80,1,0
8,-1,0.25,6.83,49,0,0
5,-1,0.89,7.709,84,1,0
6,-4,0.31,7.286,16,0,1
6,-8,0.75,7.316,84,0,1
7,-2,0.27,8.626,67,0,0
3,-6,0.99,8.982,56,1,0
6,-2,0.88,5.03,70,0,1
3,-2,0.97,8.914,51,1,0
5,-8,0.06,4.047,69,0,0
8,-4,0.31,6.746,48,1,1
3,-8,0.55,4.102,68,1,0
4,-5,0.34,8.324,24,0,0
2,-6,0.78,4.331,60,0,1
4,-6,0.64,6.665,64,0,1
8,-8,0.86,5.639,82,0,1
8,-4,0.100000024,7.855,46,0,1
8,-4,0.85,5.845,38,0,1
4,-2,0.3,7.788,84,1,1
5,-4,0.89,4.213,30,1,0
8,-4,0.25,7.71,18,0,1
4,-4,0.45,7.657,86,1,1
6,-2,0.44,8.886,44,0,1
6,-2,0.3,7.133,19,0,0
10,-8,0.08,9.281,12,0,1
5,-8,0.0,8.927,55,0,0
3,-6,0.25,6.832,70,0,0
5,-6,0.05,8.616,14,0,0
5,-2,0.76,5.288,53,0,0
4,-4,0.110000014,6.586,76,1,1
5,-8,0.3,6.404,82,1,0
4,-8,0.66,6.299,57,1,0
4,-4,0.24000001,5.529,60,1,1
8,-4,0.75,5.714,70,0,1
4,-2,0.98,4.429,87,1,0
7,-2,0.94,4.991,12,1,0
4,-6,0.22000003,7.991,60,1,1
6,-6,0.11,8.919,23,0,0
10,-5,0.48,7.481,36,1,0
4,-4,0.18,8.68,16,0,1
4,-6,0.7,6.714,56,0,1
8,-6,0.55,4.775,50,1,0
5,-6,0.55,6.556,57,0,0
6,-2,0.4,7.829,24,1,1
3,-2,0.01,7.306,58,0,1
4,-4,0.44,4.432,30,0,0
8,-6,0.15,7.768,54,1,1
2,-8,0.78,5.062,52,0,1
6,-8,0.36,6.852,84,0,0
8,-6,0.2,5.357,30,1,1
8,-7,0.1,5.01,60,0,0
2,-6,0.34,5.812,62,0,1
4,-2,0.95,8.107,42,0,1
4,-6,0.53,6.472,21,0,0
