N,F0,PER,d0,v0,collision,attack
6,-5,0.82,5.421,72,1,0
8,-5,0.81,6.347,64,1,0
5,-8,0.6586609,6.4683867,68,0,1
4,-2,0.87,4.39,12,0,0
9,-5,0.78,7.842,47,1,0
8,-8,0.69083786,7.667163,62,0,1
7,-8,0.62572,8.854013,73,0,1
7,-6,0.34348583,4.358021,47,1,1
5,-3,0.84014034,5.1901417,81,1,1
4,-1,0.11,7.611,67,0,0
5,-4,0.68216896,4.576289,17,1,1
5,-6,0.55,6.556,57,0,0
3,-2,0.4,7.718,43,0,1
5,-7,0.08,6.036,52,0,0
6,-2,0.8943348,7.159375,64,0,1
8,-6,0.78,6.799,22,1,0
7,-6,0.03,5.709,48,0,0
6,-2,0.04,5.668,74,0,0
4,-2,0.28,5.811,12,0,1
7,-2,0.50276375,6.5288343,46,1,1
8,-7,0.12536716,7.7950153,74,1,1
9,-3,0.95,5.478,15,1,0
4,-4,0.5414171,4.8928614,58,1,1
4,-6,0.8987694,8.314159,71,0,1
10,-7,0.69,5.452,73,1,0
3,-5,0.11,7.065,87,0,0
8,-3,0.95077515,7.846943,43,0,1
6,-4,0.82,4.605,18,1,0
4,-5,0.8119898,6.627145,88,0,1
7,-4,0.45605373,8.126299,55,1,1
7,-3,0.2278204,7.7136965,81,1,1
8,-7,0.015338898,7.2608166,62,1,1
7,-6,0.12,5.449,11,0,0
8,-2,0.75,5.511,71,1,0
3,-8,0.48312664,4.923188,58,1,1
7,-6,0.2876606,4.2482643,66,1,1
5,-5,0.9017496,5.30291,13,0,1
8,-1,0.13237762,7.500475,46,0,1
10,-4,0.86,7.235,80,1,1
8,-8,0.76,8.522,41,1,0
7,-3,0.42,4.038,51,0,0
5,-3,0.91,5.736,72,1,0
6,-8,0.3371954,7.705287,58,0,1
7,-6,0.37,8.63,87,0,0
3,-5,0.65,6.833,89,0,0
4,-5,0.4561205,4.0340195,37,1,1
5,-2,0.75,4.741,83,0,0
7,-2,0.68678,4.9306498,58,0,1
6,-6,0.4707079,7.8171215,64,1,1
4,-7,0.87316227,5.437195,44,0,1
5,-8,0.91,5.701,29,0,0
8,-7,0.0007171631,5.0178747,67,0,1
3,-3,0.0,8.065,54,0,0
3,-7,0.93,6.573,11,1,0
9,-7,0.56,4.922,30,1,0
9,-8,0.58,4.952,47,1,0
3,-1,0.97,5.374,34,1,0
6,-6,0.16,6.23,27,0,1
6,-5,0.56413364,8.1495285,30,1,1
8,-6,0.71231747,4.4862547,27,0,1
9,-7,0.68,5.131,26,0,0
4,-8,0.9701357,6.2375574,32,0,1
4,-8,0.11,8.491,74,0,0
5,-6,0.17,4.193,61,0,0
8,-2,0.16,6.02,12,0,0
6,-3,0.5980053,5.306547,18,1,1
